iter	Accuracy	Logloss
694	0.99977623	0.01314712407
695	0.99977623	0.01310476667
696	0.99977623	0.01310462784
697	0.99977623	0.01306668171
698	0.99977623	0.01300888684
699	0.99977623	0.01299898223
700	0.99977623	0.01297861246
701	0.99977623	0.01293178322
702	0.99977623	0.012904
703	0.99977623	0.01289650432
704	0.99977623	0.01283300023
705	0.9998042013	0.0127597345
706	0.9998042013	0.01272762389
707	0.9998042013	0.0126724341
708	0.9998042013	0.01266517884
709	0.9998042013	0.01265612656
710	0.9998042013	0.01265606785
711	0.9998042013	0.01263797557
712	0.9998042013	0.01261265673
713	0.9998601438	0.01254230387
714	0.999888115	0.01251698114
715	0.999888115	0.01245914086
716	0.999888115	0.01244147327
717	0.999888115	0.01239158522
718	0.999888115	0.01237641757
719	0.999888115	0.01237166654
720	0.999888115	0.01223344508
721	0.999888115	0.01221549063
722	0.999888115	0.01215995244
723	0.999888115	0.01213138603
724	0.999888115	0.0121197437
725	0.999888115	0.01206984184
726	0.999888115	0.01204860308
727	0.999888115	0.01201400481
728	0.999888115	0.01201392311
729	0.9998601438	0.01198462939
730	0.9998601438	0.01197245843
731	0.9998601438	0.01194449287
732	0.999888115	0.01190423203
733	0.999888115	0.01190420105
734	0.9998601438	0.0118843644
735	0.999888115	0.01187149755
736	0.9998601438	0.01186496426
737	0.9998601438	0.01183720219
738	0.9998601438	0.01182360391
739	0.9998601438	0.01180560232
740	0.9998601438	0.01178467269
741	0.9998601438	0.0117593319
742	0.9998601438	0.01175247944
743	0.9998601438	0.01172731418
744	0.9998601438	0.01169794026
745	0.9998601438	0.01168985561
746	0.9998601438	0.01160884234
747	0.9998601438	0.01158728144
748	0.9998601438	0.01158651407
749	0.9998601438	0.01155008501
750	0.999888115	0.01152691054
751	0.999888115	0.01152689852
752	0.999888115	0.01152679631
753	0.999888115	0.0115205852
754	0.999888115	0.01150367016
755	0.999888115	0.01147559375
756	0.999888115	0.01146276272
757	0.999888115	0.01144021318
758	0.9999160863	0.01141456112
759	0.9999160863	0.0114144835
760	0.9999160863	0.01140807444
761	0.9999160863	0.01137374272
762	0.9999160863	0.01134711826
763	0.9999160863	0.01132566391
764	0.9999160863	0.0112886869
765	0.9999160863	0.0112707091
766	0.9999440575	0.011255158
767	0.9999440575	0.01122825118
768	0.9999440575	0.01122822554
769	0.9999440575	0.01121470732
770	0.9999440575	0.01121461202
771	0.9999440575	0.01119782177
772	0.9999440575	0.0111593559
773	0.9999440575	0.01115930791
774	0.9999440575	0.01112820413
775	0.9999440575	0.01109139735
776	0.9999440575	0.01109127394
777	0.9999440575	0.01109126771
778	0.9999440575	0.01107654867
779	0.9999440575	0.0110531784
780	0.9999440575	0.01102884326
781	0.9999440575	0.01099615972
782	0.9999440575	0.01091987204
783	0.9999440575	0.01091566295
784	0.9999440575	0.01087762173
785	0.9999440575	0.01087169645
786	0.9999440575	0.01086448202
787	0.9999440575	0.01081766591
788	0.9999440575	0.01078839745
789	0.9999440575	0.01078836553
790	0.9999440575	0.01077496942
791	0.9999440575	0.01075790324
792	0.9999440575	0.01073460558
793	0.9999440575	0.01071197385
794	0.9999440575	0.0107007458
795	0.9999440575	0.01069508187
796	0.9999440575	0.01067284859
797	0.9999440575	0.01066837644
798	0.9999440575	0.01064445128
799	0.9999440575	0.01062039753
800	0.9999440575	0.01060540731
801	0.9999440575	0.01058068418
802	0.9999440575	0.01055738243
803	0.9999440575	0.01055733584
804	0.9999440575	0.01054826333
805	0.9999440575	0.01051887868
806	0.9999440575	0.01051886703
807	0.9999440575	0.01051884785
808	0.9999440575	0.01051358035
809	0.9999440575	0.01050718755
810	0.9999440575	0.01048407191
811	0.9999440575	0.01043642437
812	0.9999440575	0.01039933409
813	0.9999440575	0.01036434571
814	0.9999440575	0.01036427968
815	0.9999440575	0.01035581314
816	0.9999440575	0.01035571809
817	0.9999440575	0.0103556677
818	0.9999440575	0.01034791021
819	0.9999440575	0.01032063091
820	0.9999440575	0.0103054189
821	0.9999440575	0.01030540127
